Date,Open,High,Low,Close,Adj Close,Volume
2020-05-18,185.750000,186.199997,183.960007,184.910004,182.279190,35264500
2020-05-19,185.029999,186.600006,183.490005,183.630005,181.017380,26799100
2020-05-20,184.809998,185.850006,183.940002,185.660004,183.528229,31261300
2020-05-21,185.399994,186.669998,183.289993,183.429993,181.323822,29119500
2020-05-22,183.190002,184.460007,182.539993,183.509995,181.402908,20826900
2020-05-26,186.339996,186.500000,181.100006,181.570007,179.485199,36073600
2020-05-27,180.199997,181.990005,176.600006,181.809998,179.722458,39517100
2020-05-28,180.740005,184.149994,180.380005,181.399994,179.317123,33810200
2020-05-29,182.729996,184.270004,180.410004,183.250000,181.145905,42130400
2020-06-01,182.539993,183.000000,181.460007,182.830002,180.730728,22622400
2020-06-02,184.250000,185.000000,181.350006,184.910004,182.786835,30794600
2020-06-03,184.820007,185.940002,183.580002,185.360001,183.231659,27311000
2020-06-04,184.300003,185.839996,182.300003,182.919998,180.819687,28761800
2020-06-05,182.619995,187.729996,182.009995,187.199997,185.050537,39893600
2020-06-08,185.940002,188.550003,184.440002,188.360001,186.197220,33211600
2020-06-09,188.000000,190.699997,187.259995,189.800003,187.620682,29783900
2020-06-10,191.130005,198.520004,191.009995,196.839996,194.579849,43872300
2020-06-11,193.130005,195.759995,186.070007,186.270004,184.131226,52854700
2020-06-12,190.539993,191.720001,185.179993,187.740005,185.584351,43373600
2020-06-15,184.580002,190.820007,184.009995,188.940002,186.770569,32770200
2020-06-16,192.889999,195.580002,191.460007,193.570007,191.347427,42556700
2020-06-17,195.029999,196.320007,193.690002,194.240005,192.009705,25687800
2020-06-18,194.000000,196.490005,194.000000,196.320007,194.065826,23061600
2020-06-19,198.589996,199.289993,194.369995,195.149994,192.909271,44441100
2020-06-22,195.789993,200.759995,195.229996,200.570007,198.267029,32818900
2020-06-23,202.089996,203.949997,201.429993,201.910004,199.591660,30917400
2020-06-24,201.600006,203.250000,196.559998,197.839996,195.568390,36740600
2020-06-25,197.800003,200.610001,195.470001,200.339996,198.039658,27803900
2020-06-26,199.729996,199.889999,194.880005,196.330002,194.075699,54675800
2020-06-29,195.779999,198.529999,193.550003,198.440002,196.161469,26701600
2020-06-30,197.880005,204.399994,197.740005,203.509995,201.173279,34310300
2020-07-01,203.139999,206.350006,201.770004,204.699997,202.349594,32061200
2020-07-02,205.679993,208.020004,205.000000,206.259995,203.891678,29315800
2020-07-06,208.830002,211.130005,208.089996,210.699997,208.280716,31897600
2020-07-07,210.449997,214.669998,207.990005,208.250000,205.858826,33600700
2020-07-08,210.070007,213.259995,208.690002,212.830002,210.386246,33600000
2020-07-09,216.330002,216.380005,211.470001,214.320007,211.859177,33121700
